name,address,city/town,district,postcode,state,latitude,longitude,gmaps_link,operating_day,operating_hour,parking,area_m2,amenities,status,total_shop,source,local_authorities,category
Pasar Malam Taman Melawati,"Pusat Bandar, 311, Lorong Selangor, Taman Melawati, 53100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",,Kuala Lumpur,53100,WP Kuala Lumpur,3.2104933,101.7493301,https://maps.app.goo.gl/QmFnDaXLgfLxY8LM8,"Tuesday, Thursday, Saturday",4-10pm,1 star,"4,590.72 m�","Toilet, Prayer Room",Active,,,,
"Pasar Malam Jalan 30/10A, Taman Perindustrian IKS",Taman Perindustrian IKS,,Batu,68100,WP Kuala Lumpur,3.221393,101.68881,https://maps.app.goo.gl/KvXCzyGonwKktbg88,Jumaat,6-10pm,,,,,77,https://ecentral.my/pasar-malam-kl/,,
Pasar Malam Jalan Kangsar Off Jalan Ipoh,Taman Rainbow,,Batu,51100,WP Kuala Lumpur,3.1938417,101.6777776,https://maps.app.goo.gl/Kux37PbHoT2yYHVb7,Isnin,6-10pm,,,,,117,https://ecentral.my/pasar-malam-kl/,,
Pasar Malam PKNS Jalan Kuching,Jinjang Selatan,,Batu,54200,WP Kuala Lumpur,3.199854,101.6688947,https://maps.app.goo.gl/KAebVGCzmPwf1jng8,Khamis,6-10pm,,,,,138,https://ecentral.my/pasar-malam-kl/,,
Pasar Malam PPR Batu Muda,"Jalan 2/12a, Sentul",,Batu,51200,WP Kuala Lumpur,"3.2056782,101.6792353",,https://maps.app.goo.gl/dtBKiiPAzRBWRMTw6,Khamis & Selasa,"4.30pm-10.30pm, 4.30pm-10.30pm",,,,,276,https://ecentral.my/pasar-malam-kl/,,
Pasar Malam Sentul Pasar Dalam 4B,"Jalan 1/48a, Bandar Baru Sentul",,Batu,51000,WP Kuala Lumpur,"3.1868429,101.6959855",,https://maps.app.goo.gl/73HuJG6uHwV7nxfr6,Jumaat,5-10pm,,,,,89,https://ecentral.my/pasar-malam-kl/,,
Pasar Malam Taman Beringin,,,Batu,52000,WP Kuala Lumpur,"3.2189819,101.6618913",,https://maps.app.goo.gl/XPC3o4eQsFXUujta9,Rabu,6-10pm,,,,,150,https://ecentral.my/pasar-malam-kl/,,
Pasar Malam Taman Dato Senu,"Jalan Dato Senu 20, Taman Dato Senu",,Batu,51000,WP Kuala Lumpur,"3.1939448,101.6936048",,https://maps.app.goo.gl/g3MW46tLMwRud2hw6,Selasa,6-10pm,,,,,158,https://ecentral.my/pasar-malam-kl/,,
Pasar Malam Taman Intan Baiduri,,,Batu,,WP Kuala Lumpur,,,,Selasa,,,,,,80,https://ecentral.my/pasar-malam-kl/,,
"Pasar Malam Jalan Manjoi, Taman Kok Lian",Taman Kok Lian,,Batu,51200,WP Kuala Lumpur,"3.1987756,101.6748066",,https://maps.app.goo.gl/k5T6wyeMv8o9y1Lh6,Selasa,,,,,,50,https://ecentral.my/pasar-malam-kl/,,
Pasar Malam Taman Koperasi Polis Fasa  2,"Jalan 28/10, Taman Koperasi Polis",,Batu,68100,WP Kuala Lumpur,"3.2214084,101.6895423",,https://maps.app.goo.gl/vT2HaR7HRnVvu4k39,Isnin,,,,,,70,https://ecentral.my/pasar-malam-kl/,,
Pasar Malam Taman Koperasi Polis Fasa  1,,,Batu,,WP Kuala Lumpur,,,,Sabtu,,,,,,150,https://ecentral.my/pasar-malam-kl/,,
Pasar Malam Taman Mastiara,"62, Jalan 15/18a, Taman Mastiara",,Batu,51200,WP Kuala Lumpur,"3.2095226,101.6740388",,https://maps.app.goo.gl/Xzu1gxZgD14W4Bry9,Jumaat,,,,,,45,https://ecentral.my/pasar-malam-kl/,,
